date,product_name,quantity,unit_price,total_price
2023-03-05,Markers,18,9.66,173.88
2023-05-13,Pencil,54,1.15,62.1
2023-01-08,Calculator,73,1.84,134.32
2023-01-28,Tape,66,7.45,491.7
2023-03-26,Notebook,30,2.76,82.8
2023-03-08,Scissors,95,3.15,299.25
2023-03-24,Highlighter,28,5.01,140.28
2023-04-13,Ruler,62,8.98,556.76
2023-03-17,Stapler,88,2.09,183.92
2023-03-01,Pencil,49,6.73,329.77
2023-03-15,Ruler,40,3.06,122.4
2023-02-08,Notebook,53,7.39,391.67
2023-05-25,Pencil,93,3.95,367.35
2023-01-31,Paper Clips,26,3.4,88.4
2023-05-01,Ruler,22,5.2,114.4
2023-02-28,Tape,52,3.2,166.4
2023-01-21,Pen,56,4.32,241.92
2023-05-30,Scissors,74,9.55,706.7
2023-03-03,Pencil,4,9.93,39.72
2023-02-28,Tape,49,3.65,178.85
2023-05-11,Markers,20,3.2,64.0
2023-03-11,Eraser,96,5.07,486.72
2023-03-11,Stapler,53,2.46,130.38
2023-05-02,Paper Clips,52,6.39,332.28
2023-03-09,Eraser,45,4.89,220.05
2023-03-29,Paper Clips,61,1.43,87.23
2023-02-24,Tape,23,9.32,214.36
2023-01-12,Markers,32,7.53,240.96
2023-01-29,Pencil,86,6.07,522.02
2023-04-14,Notebook,64,4.86,311.04
2023-03-14,Scissors,19,7.82,148.58
2023-01-19,Eraser,80,5.3,424.0
2023-04-17,Calculator,100,2.88,288.0
2023-03-05,Paper Clips,70,1.68,117.6
2023-02-02,Paper Clips,28,4.73,132.44
2023-04-28,Markers,74,3.49,258.26
2023-05-23,Pen,9,2.84,25.56
2023-01-27,Scissors,84,6.96,584.64
2023-02-13,Tape,83,3.81,316.23
2023-02-04,Calculator,5,7.22,36.1
2023-04-23,Scissors,48,9.35,448.8
2023-04-29,Stapler,50,3.65,182.5
2023-02-24,Pen,40,8.91,356.4
2023-03-18,Tape,42,4.43,186.06
2023-02-07,Pen,27,3.44,92.88
2023-01-13,Highlighter,52,5.99,311.48
2023-01-26,Paper Clips,62,7.3,452.6
2023-02-06,Scissors,99,3.47,343.53
2023-03-15,Scissors,15,1.77,26.55
2023-05-11,Paper Clips,31,7.15,221.65
2023-05-19,Calculator,14,4.49,62.86
2023-04-29,Pen,81,9.69,784.89
2023-01-30,Scissors,89,6.1,542.9
2023-02-25,Pencil,65,2.37,154.05
2023-03-21,Calculator,79,6.68,527.72
2023-02-23,Pen,76,7.26,551.76
2023-01-26,Calculator,37,9.03,334.11
2023-02-04,Tape,51,6.93,353.43
2023-05-24,Pencil,86,3.88,333.68
2023-01-21,Highlighter,34,6.69,227.46
2023-05-04,Pencil,78,1.89,147.42
2023-05-27,Pencil,41,4.32,177.12
2023-04-23,Calculator,62,4.79,296.98
2023-04-04,Highlighter,31,7.78,241.18
2023-05-26,Pen,96,6.82,654.72
2023-01-05,Pencil,81,1.2,97.2
2023-02-12,Pen,28,5.65,158.2
2023-03-18,Pencil,51,8.99,458.49
2023-05-26,Pen,15,9.72,145.8
2023-05-11,Ruler,45,5.97,268.65
2023-05-22,Eraser,42,6.83,286.86
2023-02-20,Notebook,12,5.04,60.48
2023-01-08,Ruler,2,4.66,9.32
2023-05-22,Scissors,89,4.26,379.14
2023-01-19,Stapler,9,6.38,57.42
2023-05-22,Paper Clips,57,5.87,334.59
2023-03-12,Paper Clips,98,6.0,588.0
2023-03-23,Tape,80,5.62,449.6
2023-05-16,Scissors,33,4.95,163.35
2023-03-27,Paper Clips,48,6.36,305.28
2023-01-09,Stapler,6,4.15,24.9
2023-01-07,Ruler,14,5.45,76.3
2023-01-03,Ruler,54,6.67,360.18
2023-02-11,Pen,3,5.61,16.83
2023-03-02,Markers,100,2.2,220.0
2023-05-02,Markers,26,3.22,83.72
2023-03-11,Highlighter,60,8.69,521.4
2023-01-08,Notebook,67,9.64,645.88
2023-02-28,Tape,54,4.9,264.6
2023-03-02,Highlighter,96,4.28,410.88
2023-05-29,Scissors,26,4.23,109.98
2023-03-30,Markers,55,9.67,531.85
2023-02-01,Ruler,15,3.95,59.25
2023-04-06,Scissors,32,7.49,239.68
2023-04-11,Eraser,68,4.55,309.4
2023-03-11,Pencil,82,2.67,218.94
2023-01-10,Eraser,18,5.95,107.1
2023-05-21,Pencil,57,9.65,550.05
2023-05-11,Highlighter,70,4.55,318.5
2023-01-24,Tape,62,6.82,422.84
2023-05-17,Scissors,63,6.86,432.18
2023-02-13,Eraser,33,7.09,233.97
2023-04-03,Notebook,85,3.04,258.4
2023-01-15,Scissors,79,7.77,613.83
2023-01-27,Notebook,75,8.13,609.75
2023-01-23,Ruler,43,7.69,330.67
2023-04-09,Calculator,92,2.82,259.44
2023-01-04,Paper Clips,98,1.09,106.82
2023-02-28,Notebook,87,8.0,696.0
2023-03-28,Scissors,97,1.56,151.32
2023-03-14,Calculator,76,8.89,675.64
2023-02-01,Tape,91,9.68,880.88
2023-01-13,Paper Clips,75,9.79,734.25
2023-03-20,Ruler,88,8.07,710.16
2023-02-06,Ruler,100,8.63,863.0
2023-03-30,Scissors,59,1.78,105.02
2023-03-17,Markers,27,8.53,230.31
2023-04-01,Notebook,14,8.35,116.9
2023-05-12,Paper Clips,91,1.47,133.77
2023-03-01,Scissors,87,2.98,259.26
2023-01-22,Notebook,41,4.15,170.15
2023-04-23,Paper Clips,69,6.65,458.85
2023-05-02,Scissors,32,3.1,99.2
2023-02-01,Pencil,49,8.76,429.24
2023-02-06,Calculator,79,5.13,405.27
2023-03-06,Pencil,20,4.3,86.0
2023-03-04,Notebook,34,9.27,315.18
2023-05-31,Paper Clips,91,3.18,289.38
2023-03-07,Markers,89,7.36,655.04
2023-03-22,Eraser,37,2.82,104.34
2023-04-20,Notebook,72,4.26,306.72
2023-01-13,Tape,40,4.85,194.0
2023-03-27,Stapler,45,9.7,436.5
2023-03-15,Stapler,18,1.48,26.64
2023-03-22,Highlighter,94,9.61,903.34
2023-03-11,Notebook,67,3.77,252.59
2023-05-17,Stapler,38,6.08,231.04
2023-01-23,Paper Clips,53,5.14,272.42
2023-02-14,Tape,48,2.65,127.2
2023-03-25,Tape,15,9.86,147.9
2023-01-12,Pen,38,8.51,323.38
2023-01-10,Pen,59,6.0,354.0
2023-04-10,Markers,61,4.6,280.6
2023-04-29,Paper Clips,59,5.57,328.63
2023-05-30,Highlighter,17,7.65,130.05
2023-01-06,Highlighter,42,2.24,94.08
2023-04-23,Pen,80,3.45,276.0
2023-02-05,Eraser,52,6.56,341.12
2023-04-27,Pencil,95,9.9,940.5
2023-01-09,Paper Clips,26,5.22,135.72
2023-01-16,Highlighter,59,1.59,93.81
2023-03-17,Notebook,70,7.32,512.4
2023-03-16,Notebook,15,5.88,88.2
2023-03-06,Paper Clips,27,4.52,122.04
2023-02-19,Pen,92,4.86,447.12
2023-01-05,Pencil,46,5.6,257.6
2023-05-30,Pencil,66,3.32,219.12
2023-01-05,Calculator,37,6.52,241.24
2023-03-08,Highlighter,9,1.51,13.59
2023-05-09,Tape,10,2.3,23.0
2023-04-16,Eraser,37,6.24,230.88
2023-02-27,Eraser,65,3.99,259.35
2023-03-18,Pencil,46,9.14,420.44
2023-05-02,Highlighter,74,7.56,559.44
2023-02-19,Calculator,94,5.97,561.18
2023-02-26,Stapler,30,8.96,268.8
2023-01-12,Ruler,23,5.43,124.89
2023-01-29,Pencil,78,6.53,509.34
2023-03-06,Pen,10,5.93,59.3
2023-03-09,Highlighter,90,8.13,731.7
2023-03-04,Pen,53,9.68,513.04
2023-05-06,Highlighter,70,7.1,497.0
2023-01-04,Paper Clips,24,5.25,126.0
2023-05-23,Eraser,59,8.62,508.58
2023-03-25,Ruler,59,2.08,122.72
2023-01-02,Eraser,63,4.13,260.19
2023-03-02,Ruler,56,9.55,534.8
2023-01-22,Notebook,48,1.34,64.32
2023-04-13,Scissors,93,4.81,447.33
2023-01-01,Notebook,5,6.63,33.15
2023-04-28,Ruler,28,8.05,225.4
2023-01-17,Highlighter,2,2.13,4.26
2023-05-11,Scissors,50,3.86,193.0
2023-02-26,Scissors,22,5.91,130.02
2023-01-28,Calculator,62,2.49,154.38
2023-03-05,Stapler,88,9.32,820.16
2023-05-25,Highlighter,47,6.2,291.4
2023-05-21,Highlighter,64,8.81,563.84
2023-01-13,Pencil,62,2.65,164.3
2023-04-20,Ruler,11,8.99,98.89
2023-03-31,Calculator,39,9.89,385.71
2023-03-19,Scissors,13,2.56,33.28
2023-02-19,Stapler,53,2.87,152.11
2023-03-29,Paper Clips,82,9.49,778.18
2023-04-06,Markers,80,2.37,189.6
2023-01-13,Pen,13,5.67,73.71
2023-05-17,Tape,63,7.1,447.3
2023-02-18,Eraser,42,7.44,312.48
2023-01-13,Tape,2,9.65,19.3
2023-03-25,Markers,18,7.06,127.08
2023-03-25,Ruler,78,3.23,251.94
2023-01-17,Notebook,15,7.84,117.6
2023-04-20,Tape,72,3.16,227.52
2023-01-28,Notebook,9,2.3,20.7
2023-02-25,Tape,3,1.71,5.13
2023-01-07,Eraser,48,7.68,368.64
2023-04-25,Highlighter,50,2.77,138.5
2023-05-24,Ruler,42,9.95,417.9
2023-03-25,Stapler,85,4.8,408.0
2023-02-04,Notebook,30,1.37,41.1
2023-01-12,Notebook,75,9.18,688.5
2023-03-31,Calculator,93,3.79,352.47
2023-01-04,Eraser,89,2.8,249.2
2023-04-25,Calculator,31,9.41,291.71
2023-04-30,Paper Clips,79,6.15,485.85
2023-03-25,Markers,62,4.54,281.48
2023-05-20,Stapler,31,3.09,95.79
2023-01-18,Markers,80,1.05,84.0
2023-04-19,Eraser,50,6.35,317.5
2023-04-11,Pen,92,7.89,725.88
2023-02-19,Scissors,39,2.14,83.46
2023-03-29,Notebook,99,8.4,831.6
2023-01-25,Stapler,89,6.32,562.48
2023-04-24,Paper Clips,90,4.83,434.7
2023-03-03,Pencil,7,6.93,48.51
2023-05-13,Calculator,85,5.78,491.3
2023-04-27,Tape,80,9.29,743.2
2023-01-24,Notebook,37,1.47,54.39
2023-05-17,Pencil,51,7.84,399.84
2023-02-13,Eraser,84,9.39,788.76
2023-01-17,Markers,38,2.62,99.56
2023-01-09,Paper Clips,79,8.89,702.31
2023-01-17,Markers,100,1.12,112.0
2023-03-08,Tape,58,3.14,182.12
2023-01-31,Pen,80,3.57,285.6
2023-01-12,Notebook,25,2.05,51.25
2023-03-10,Ruler,42,8.44,354.48
2023-01-30,Calculator,15,1.82,27.3
2023-05-09,Markers,90,1.02,91.8
2023-01-23,Pencil,68,9.06,616.08
2023-01-07,Calculator,23,1.53,35.19
2023-03-28,Notebook,16,2.11,33.76
2023-04-06,Markers,30,3.93,117.9
2023-04-07,Tape,34,9.57,325.38
2023-03-26,Notebook,22,9.63,211.86
2023-04-23,Paper Clips,81,2.33,188.73
2023-01-25,Scissors,65,9.24,600.6
2023-04-22,Stapler,43,6.74,289.82
2023-03-19,Pencil,41,6.81,279.21
2023-02-02,Eraser,53,6.07,321.71
2023-02-21,Pencil,63,7.5,472.5
2023-04-06,Scissors,26,6.73,174.98
2023-04-12,Calculator,96,2.08,199.68
2023-05-27,Calculator,55,3.57,196.35
2023-04-29,Pencil,33,7.68,253.44
2023-04-07,Ruler,80,3.03,242.4
2023-03-03,Notebook,5,3.64,18.2
2023-04-17,Markers,10,1.88,18.8
2023-02-12,Pen,78,9.56,745.68
2023-05-05,Notebook,65,3.41,221.65
2023-05-06,Paper Clips,19,2.35,44.65
2023-02-26,Markers,24,3.94,94.56
2023-05-02,Tape,83,2.81,233.23
2023-03-02,Paper Clips,45,4.64,208.8
2023-02-17,Ruler,26,9.9,257.4
2023-04-13,Notebook,44,2.46,108.24
2023-02-24,Eraser,49,1.98,97.02
2023-03-05,Calculator,73,9.49,692.77
2023-01-04,Ruler,42,7.33,307.86
2023-05-14,Notebook,29,5.66,164.14
2023-03-02,Stapler,14,3.9,54.6
2023-02-10,Eraser,41,1.81,74.21
2023-01-03,Pencil,62,4.9,303.8
2023-01-08,Calculator,35,3.89,136.15
2023-01-15,Stapler,92,1.25,115.0
2023-04-23,Calculator,20,3.21,64.2
2023-02-05,Scissors,62,6.34,393.08
2023-05-14,Scissors,61,5.44,331.84
2023-01-11,Paper Clips,57,3.59,204.63
2023-01-02,Markers,62,2.15,133.3
2023-01-24,Stapler,41,4.06,166.46
2023-04-11,Highlighter,6,2.73,16.38
2023-01-23,Markers,39,1.22,47.58
2023-03-03,Stapler,37,8.71,322.27
2023-04-22,Notebook,72,9.47,681.84
2023-02-03,Eraser,95,1.15,109.25
2023-02-12,Notebook,63,7.46,469.98
2023-03-23,Calculator,78,7.45,581.1
2023-02-14,Pen,6,9.62,57.72
2023-01-27,Tape,71,5.3,376.3
2023-03-05,Ruler,63,6.0,378.0
2023-01-11,Notebook,41,6.16,252.56
2023-04-29,Notebook,43,2.1,90.3
2023-04-14,Eraser,52,5.1,265.2
2023-02-13,Eraser,50,9.61,480.5
2023-02-03,Pencil,38,4.09,155.42
2023-04-17,Eraser,79,8.14,643.06
2023-05-04,Ruler,26,4.21,109.46
2023-03-07,Tape,84,1.33,111.72
2023-02-08,Tape,95,7.59,721.05
2023-04-26,Pen,62,5.04,312.48
2023-03-10,Highlighter,94,7.43,698.42
2023-01-20,Ruler,3,4.74,14.22
2023-05-11,Markers,29,7.58,219.82
2023-03-30,Stapler,46,5.47,251.62
2023-02-12,Pencil,96,4.99,479.04
2023-04-13,Stapler,87,8.56,744.72
2023-01-15,Stapler,37,8.38,310.06
2023-05-16,Pen,89,8.2,729.8
2023-02-25,Pencil,92,5.48,504.16
2023-04-10,Notebook,54,8.3,448.2
2023-05-22,Highlighter,68,7.98,542.64
2023-03-25,Tape,49,7.69,376.81
2023-03-01,Notebook,58,2.38,138.04
2023-02-04,Pen,44,2.53,111.32
2023-04-21,Scissors,74,2.9,214.6
2023-05-14,Highlighter,86,9.64,829.04
2023-01-05,Eraser,78,8.24,642.72
2023-04-10,Ruler,52,3.22,167.44
2023-02-11,Tape,52,5.95,309.4
2023-01-19,Pen,20,6.09,121.8
2023-04-30,Stapler,36,3.08,110.88
2023-01-10,Scissors,49,5.93,290.57
2023-04-30,Paper Clips,31,4.2,130.2
2023-02-03,Paper Clips,93,2.61,242.73
2023-05-09,Scissors,83,5.13,425.79
2023-03-06,Stapler,13,3.33,43.29
2023-03-03,Markers,50,2.86,143.0
2023-03-18,Paper Clips,31,8.5,263.5
2023-02-07,Eraser,80,6.51,520.8
2023-04-11,Ruler,31,5.93,183.83
2023-03-13,Notebook,11,8.33,91.63
2023-01-06,Notebook,20,3.77,75.4
2023-03-07,Pen,29,1.58,45.82
2023-05-11,Scissors,30,4.86,145.8
2023-02-11,Scissors,38,5.04,191.52
2023-02-16,Paper Clips,73,9.07,662.11
2023-01-23,Pen,58,3.62,209.96
2023-01-02,Highlighter,33,2.68,88.44
2023-01-16,Notebook,75,7.9,592.5
2023-01-22,Notebook,25,5.72,143.0
2023-03-29,Highlighter,9,9.31,83.79
2023-05-14,Stapler,67,2.35,157.45
2023-04-02,Scissors,79,6.1,481.9
2023-04-20,Pencil,59,5.42,319.78
2023-03-04,Stapler,25,7.66,191.5
2023-02-02,Pen,68,1.48,100.64
2023-02-21,Pencil,41,5.51,225.91
2023-05-24,Paper Clips,93,7.5,697.5
2023-04-24,Pencil,31,3.98,123.38
2023-03-28,Highlighter,74,1.65,122.1
2023-05-18,Markers,78,9.83,766.74
2023-03-14,Eraser,83,7.4,614.2
2023-05-14,Markers,59,4.71,277.89
2023-05-11,Tape,29,5.05,146.45
2023-04-15,Paper Clips,62,5.99,371.38
2023-02-06,Pencil,43,2.56,110.08
2023-01-18,Stapler,70,7.22,505.4
2023-01-21,Pencil,79,1.69,133.51
2023-04-21,Ruler,12,7.95,95.4
2023-05-16,Calculator,43,6.55,281.65
2023-03-22,Ruler,75,6.26,469.5
2023-05-08,Eraser,79,3.55,280.45
2023-05-03,Paper Clips,81,1.29,104.49
2023-05-21,Pen,3,4.13,12.39
2023-03-30,Pencil,73,7.93,578.89
2023-02-04,Scissors,8,7.15,57.2
2023-03-13,Scissors,100,4.08,408.0
2023-05-09,Scissors,98,8.88,870.24
2023-01-24,Calculator,91,2.26,205.66
2023-03-29,Scissors,39,4.79,186.81
2023-04-09,Markers,88,8.37,736.56
2023-02-01,Eraser,32,2.16,69.12
2023-01-28,Scissors,81,8.02,649.62
2023-02-14,Eraser,11,3.04,33.44
2023-05-29,Tape,74,4.43,327.82
2023-01-21,Calculator,6,2.17,13.02
2023-02-03,Paper Clips,36,2.19,78.84
2023-01-28,Paper Clips,2,3.67,7.34
2023-05-12,Ruler,42,2.44,102.48
2023-01-16,Notebook,28,2.61,73.08
2023-01-07,Markers,55,6.85,376.75
2023-01-30,Markers,40,2.76,110.4
2023-04-07,Ruler,90,2.36,212.4
2023-05-17,Calculator,8,7.57,60.56
2023-03-27,Paper Clips,73,8.5,620.5
2023-03-25,Pencil,72,5.3,381.6
2023-03-26,Stapler,17,1.25,21.25
2023-04-30,Markers,76,6.55,497.8
2023-04-06,Pencil,53,2.76,146.28
2023-02-18,Pen,73,7.81,570.13
2023-03-18,Pencil,50,9.86,493.0
2023-02-15,Stapler,72,2.19,157.68
2023-03-04,Eraser,63,5.91,372.33
2023-01-19,Ruler,76,3.28,249.28
2023-02-21,Highlighter,35,8.87,310.45
2023-04-01,Markers,52,1.28,66.56
2023-01-01,Calculator,14,5.57,77.98
2023-03-07,Pen,41,5.0,205.0
2023-03-06,Pencil,16,6.58,105.28
2023-02-16,Calculator,43,7.16,307.88
2023-05-25,Pencil,37,8.75,323.75
2023-02-26,Notebook,95,4.61,437.95
2023-03-18,Stapler,80,8.3,664.0
2023-01-22,Tape,15,5.68,85.2
2023-02-09,Calculator,94,6.73,632.62
2023-03-13,Notebook,82,4.87,399.34
2023-05-30,Ruler,97,1.3,126.1
2023-01-06,Pen,41,3.44,141.04
2023-01-18,Pencil,79,2.9,229.1
2023-01-14,Eraser,7,2.19,15.33
2023-03-21,Markers,5,9.78,48.9
2023-04-21,Calculator,15,8.03,120.45
2023-03-10,Pen,56,2.56,143.36
2023-01-18,Tape,62,2.25,139.5
2023-03-25,Notebook,82,6.32,518.24
2023-01-13,Tape,56,8.19,458.64
2023-03-23,Ruler,8,2.93,23.44
2023-04-29,Pen,45,7.08,318.6
2023-03-04,Stapler,96,7.71,740.16
2023-01-17,Scissors,55,1.86,102.3
2023-01-27,Tape,13,2.07,26.91
2023-05-23,Eraser,34,4.61,156.74
2023-04-27,Scissors,27,2.14,57.78
2023-02-14,Stapler,21,3.53,74.13
2023-02-09,Highlighter,56,3.24,181.44
2023-03-05,Stapler,36,3.14,113.04
2023-04-16,Highlighter,94,7.51,705.94
2023-04-20,Eraser,7,2.79,19.53
2023-03-26,Eraser,68,6.91,469.88
2023-02-12,Paper Clips,82,1.92,157.44
2023-02-16,Notebook,68,4.62,314.16
2023-04-22,Stapler,59,6.31,372.29
2023-01-17,Stapler,28,8.91,249.48
2023-04-23,Notebook,1,4.16,4.16
2023-03-26,Scissors,29,3.97,115.13
2023-01-26,Paper Clips,11,2.13,23.43
2023-02-25,Paper Clips,42,9.65,405.3
2023-05-22,Paper Clips,55,5.24,288.2
2023-03-31,Paper Clips,30,8.15,244.5
2023-03-27,Pencil,85,7.79,662.15
2023-04-25,Pencil,20,6.74,134.8
2023-01-30,Markers,15,6.39,95.85
2023-01-12,Pen,61,8.72,531.92
2023-02-27,Tape,80,3.09,247.2
2023-02-02,Markers,12,6.91,82.92
2023-04-16,Calculator,27,1.06,28.62
2023-04-05,Scissors,78,8.17,637.26
2023-01-22,Highlighter,8,3.23,25.84
2023-05-23,Pencil,55,2.77,152.35
2023-04-27,Highlighter,41,8.31,340.71
2023-01-10,Tape,78,4.41,343.98
2023-03-29,Scissors,45,6.76,304.2
2023-03-02,Pencil,99,8.4,831.6
2023-04-14,Stapler,53,7.95,421.35
2023-03-28,Scissors,66,8.67,572.22
2023-03-19,Tape,15,9.27,139.05
2023-01-13,Scissors,58,8.8,510.4
2023-02-26,Stapler,35,2.31,80.85
2023-04-01,Eraser,33,9.25,305.25
2023-02-02,Calculator,43,3.9,167.7
2023-03-08,Markers,32,3.54,113.28
2023-03-04,Pencil,39,7.93,309.27
2023-02-12,Notebook,24,4.59,110.16
2023-03-21,Calculator,85,1.28,108.8
2023-01-25,Ruler,72,5.28,380.16
2023-03-02,Scissors,33,4.86,160.38
2023-04-02,Stapler,18,9.74,175.32
2023-01-10,Paper Clips,20,8.23,164.6
2023-03-14,Notebook,99,7.34,726.66
2023-05-10,Stapler,24,5.66,135.84
2023-02-11,Ruler,11,6.77,74.47
2023-04-23,Pencil,46,8.43,387.78
2023-04-10,Markers,22,7.54,165.88
2023-03-21,Notebook,3,2.46,7.38
2023-02-12,Calculator,23,9.2,211.6
2023-02-06,Highlighter,26,3.7,96.2
2023-01-05,Paper Clips,6,1.62,9.72
2023-03-18,Tape,100,5.9,590.0
2023-03-08,Markers,80,2.57,205.6
2023-02-14,Paper Clips,52,6.42,333.84
2023-04-11,Markers,62,5.51,341.62
2023-02-18,Eraser,68,4.54,308.72
2023-04-06,Notebook,53,2.96,156.88
2023-03-09,Highlighter,18,2.41,43.38
2023-03-31,Calculator,29,6.71,194.59
2023-04-26,Calculator,33,4.05,133.65
2023-05-07,Notebook,74,5.58,412.92
2023-05-17,Highlighter,95,9.65,916.75
2023-05-20,Paper Clips,2,6.68,13.36
2023-03-21,Pen,64,5.84,373.76
2023-05-22,Ruler,7,9.99,69.93
2023-04-07,Eraser,22,9.25,203.5
2023-04-12,Markers,43,3.86,165.98
2023-04-20,Highlighter,64,8.97,574.08
2023-02-24,Paper Clips,78,7.73,602.94
2023-01-28,Notebook,21,7.71,161.91
2023-01-21,Scissors,7,5.19,36.33
2023-04-12,Calculator,83,9.79,812.57
